MMETSP.Strain,Doubling.Time,OGT,Source,GenomeOrTranscriptome,Source.Link,Source.DOI
"Symbiodinium kawagutii CCMP2468 (combined sample which includes MMETSP0132_2, MMETSP0133_2, MMETSP0134_2 and MMETSP0135_2)",29.19,27,Rodriguez et al. 2016; [118],MMETSP0132_2C,https://www.frontiersin.org/articles/10.3389/fmicb.2016.00082/full,https://doi.org/10.3389/fmicb.2016.00082
Rhodella maculata CCMP736,28.2,24,Nitschke et al. 2010; [102],MMETSP0167,https://www.tandfonline.com/doi/full/10.1080/09670262.2010.501908,https://doi.org/10.1080/09670262.2010.501908
Strombidium inclinatum S3,4.78,,Rivier et al. 1985; [117],MMETSP0208,https://www.researchgate.net/profile/Fereidoun-Rassoulzadegan/publication/238238568_Growth_of_microzooplankton_a_comparative_study_of_bacti-vorous_zooXagellates_and_ciliates/links/5afd373daca272b5d8708833/Growth-of-microzooplankton-a-comparative-study-of-bacti-vorous-zooXagellates-and-ciliates.pdf,NA
Thoracosphaera heimii CCCM 670 (=CCMP 1069),63.16,27,Karwath et al. 200; [64],MMETSP0225,https://www.sciencedirect.com/science/article/pii/S037783980000013X?casa_token=rcTUgSg8E4cAAAAA:ry2RUKeR6qkTl5mYS_KGYBiA9ZH8muj1k1J445B6gEASClw4-VxYHZZAkQbHvWlxaKxAnGgj,https://doi.org/10.1016/S0377-8398(00)00013-X
Protoceratium reticulatum CCCM 535 (=CCMP 1889),87.56,15,"Manuel, 2014; [82]",MMETSP0228,https://epic.awi.de/id/eprint/36861/,NA
Polarella glacialis CCMP 1383,36.97,4,Zheng et al. 2012; [149],MMETSP0227,https://www.sciencedirect.com/science/article/pii/S0022098112003334?casa_token=TQf1yeUFAbEAAAAA:SmBtLaQ2wO8NZCjUmUdb7sWDZmj9jgr5SvidS0miuhpKH6KVCaoQVQCNaw7gViWjzZjCRMuK,https://doi.org/10.1016/j.jembe.2012.09.003
Prorocentrum lima CCMP 684,109.09,20,Varkitzi et al. 2010; [140],MMETSP0252,https://www.sciencedirect.com/science/article/pii/S1568988309001425?casa_token=qkOQDhyl_TYAAAAA:nNeK-PIfGM-a0aMKj7gT3jYmzmelyav_ZId7AmkiT6osmPWgEE_6QfjE1C--lzL012krji0u,https://doi.org/10.1016/j.hal.2009.12.001
Scrippsiella Hangoei SHTV-5,80,4,Rintala et al. 2007; [116],MMETSP0359,https://link.springer.com/article/10.1007/s00227-007-0652-x,https://doi.org/10.1007/s00227-007-0652-x
Crypthecodinium cohnii WH (Provasly/Seligo),8,27,"Tuttle and Loeblich, 1975; [138]",MMETSP0323,https://www.tandfonline.com/doi/abs/10.2216/i0031-8884-14-1-1.1,https://doi.org/10.2216/i0031-8884-14-1-1.1
Pseudo-nitzschia arenysensis B593,11.09,20,Quijano-Scheggia et al. 2009; [110],MMETSP0329,https://www.tandfonline.com/doi/full/10.2216/08-21.1?casa_token=x9XVoUi5cGsAAAAA%3AG4cROHwWcwLw3x597og59qQDSxtSFPRVR_HMCZ5ZZ5EU2rmSkKpH43xT0gr5jJVyuT3dgNGN-xM,https://doi.org/10.2216/08-21.1
Peridinium aciculiferum PAER-2,46.21,7.7,Flaim et al. 2014; [36],MMETSP0370,https://onlinelibrary.wiley.com/doi/full/10.1111/fwb.12321?casa_token=FDYWGPoBFNwAAAAA%3AKO64oCcBTJ7TAOYcPYrRONtxzp890VTLRBTCc10nffJBj73xB7NOsP-qmOtcqxz-6w8kLUzS3S6TrQ,https://doi.org/10.1111/fwb.12321
Amphidinium carterae CCMP1314 (combined sample which includes MMETSP0398 and MMETSP0399),57.36,20,Fuentes-Grünewald et al. 2016; [40],MMETSP0398C,https://www.sciencedirect.com/science/article/pii/S096085241630952X?casa_token=8ljJtbt8NdIAAAAA:r3M_aj7iP6tVZkC_hZ7ZpnElnEOW6K7EcfZSPvg-Z0mumqz3rl-rz65eJecVp6dYvO4-BbgA,https://doi.org/10.1016/j.biortech.2016.06.128
Oxyrrhis marina CCMP1795 (combined sample which includes MMETSP0451_2 and MMETSP0452_2),13.86,25,Lowe et al. 2005; [77],MMETSP0451_2C,https://onlinelibrary.wiley.com/doi/full/10.1111/j.1550-7408.2005.00034.x?casa_token=4qIGlk7YfhcAAAAA%3Auk2pyD88YiGnU0AmN1XAcKf2460qzp4gCwLJ0BsNCbH-J_pOAaPV2HFOSZB5yBKW3EKKrYJFWvvdyg,https://doi.org/10.1111/j.1550-7408.2005.00034.x
Mesodinium pulex SPMC105,11.8,20,"Woraporn and Hansen, 2011; [132]",MMETSP0467,https://www.int-res.com/articles/ame2011/62/a062p025.pdf,https://doi.org/10.3354/ame01455
Azadinium spinosum 3D9,36.16,22,Jauffrais et al. 2013; [57],MMETSP1036,https://www.sciencedirect.com/science/article/pii/S1568988313000826?casa_token=-qaUCZ2MliEAAAAA:u1ajqybgasrjDuZUXYCNk1_-ladH4M2BZVlFfwd-3cJj2-ONlUhb_JEM61anKytq5xaYdFR8,https://doi.org/10.1016/j.hal.2013.05.009
Hemiselmis andersenii CCMP439,27.73,20,"Heidenreich and Richardson, 2020; [47]",MMETSP1041,https://onlinelibrary.wiley.com/doi/full/10.1111/jpy.12962?casa_token=F4Jczdfi4AcAAAAA%3A2JGvL3OogUzGaKbtE92oSHOq6e1bhNhzQGumYHKB_08CRX1yru5D-tT3hTFH20wJwUjK6kKqWxYIGA,https://doi.org/10.1111/jpy.12962
Rhodomonas salina CCMP1319,13.86,21,"Lewitus and Caron, 1990; [73]",MMETSP1047,https://www.jstor.org/stable/24842257,NA
Hanusia phi CCMP325,19.34,20,Hansen et al. 2012; [44],MMETSP1048,https://www.int-res.com/abstracts/ame/v66/n1/p63-75/,https://doi.org/10.3354/ame01559
Proteomonas sulcata CCMP704,18.28,20,Hansen et al. 2012; [44],MMETSP1049,https://www.int-res.com/abstracts/ame/v66/n1/p63-75/,https://doi.org/10.3354/ame01559
Cryptomonas curvata CCAP979/52,31.58,19,Fraisse et al. 2015; [37],MMETSP1050,https://aslopubs.onlinelibrary.wiley.com/doi/full/10.1002/lno.10066,https://doi.org/10.1002/lno.10066
Cyclotella meneghiniana CCMP 338,10.08,25,Shafik et al. 1997; [126],MMETSP1057,https://www.limnology-journal.org/articles/limn/abs/1997/04/limno19974p223/limno19974p223.html,https://doi.org/10.1051/limn/1997021
Coscinodiscus wailesii CCMP2513,20,20,"Nishikawa and Yamaguchi, 2008; [100]",MMETSP1066,https://www.sciencedirect.com/science/article/pii/S1568988308000036?casa_token=MkCNmkCWX3wAAAAA:AnZ7PPs7nRFo6lvuwqa2FA6UCiGvSpxWK6qpPKmU3XbQuJs1rTPT8gsqqGXqgktTTbawGW7R,https://doi.org/10.1016/j.hal.2007.12.021
Minutocellus polymorphus NH13,13.9,19,Brzezinkski et al. 1990; [12],MMETSP1070,https://www.jstor.org/stable/24816749?seq=1,NA
Chrysochromulina ericina CCMP281,40.57,15,Lundholm et al. 2005; [78],MMETSP1096,https://www.int-res.com/articles/meps2005/288/m288p021.pdf,NA
Chattonella subsalsa CCMP2191,46.21,23,Niestroy et al. 2014; [99],MMETSP0947,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4464504/,NA
Ditylum brightwellii GSO104,12,18,"Günter Döhler and Thomas Biermann, 1994; [26]",MMETSP1010,https://www.degruyter.com/document/doi/10.1515/znc-1994-9-1011/html,https://doi.org/10.1515/znc-1994-9-1011
Karlodinium micrum CCMP2283,32,20,Adolf et al. 2006; [2],MMETSP1015,https://academic.oup.com/plankt/article/28/8/737/1469860?login=true,https://doi.org/10.1093/plankt/fbl007
Thalassiosira oceanica CCMP1005,10.02,20,"Sunda and Huntsman, 1995; [131]",MMETSP0970,https://www.sciencedirect.com/science/article/pii/030442039500035P,https://doi.org/10.1016/0304-4203(95)00035-P
Proboscia inermis CCAP1064/1,47.53,20,Meyerink et al. 2017; [88],MMETSP0816,https://aslopubs.onlinelibrary.wiley.com/doi/full/10.1002/lno.10578,https://doi.org/10.1002/lno.10578
Tetraselmis striata LANL1001,73.61,25.5,Imamoglu et al. 2015; [54],MMETSP0817,https://onlinelibrary.wiley.com/doi/full/10.1111/jpy.12286,https://doi.org/10.1111/jpy.12286
Pelagomonas calceolata CCMP1756,33,20,Jacquet et al. 2001; [55],MMETSP0888,https://onlinelibrary.wiley.com/doi/full/10.1046/j.1529-8817.2001.037003357.x?casa_token=kL18yxKQzWIAAAAA%3Awy1ASqxhskBhJ6wGUw6TYVveV8WCq_6O2xr4m_onAzU31apWGGVL4nt69Zzlyf47jgrNK-cCvP2VQA,https://doi.org/10.1046/j.1529-8817.2001.037003357.x
Aureoumbra lagunensis CCMP1510,23.87,25,Liu et al. 2001; [75],MMETSP0890,https://onlinelibrary.wiley.com/doi/full/10.1046/j.1529-8817.2001.037004500.x?casa_token=CGIpEzJreTEAAAAA%3A-Lvt9KVIgHmWSizbUyfWPQ1imMZz038xC6_UiYTO71WANbIqV35NUILp2AdVXxJ4lTlTYG9WY8yWsAA,https://doi.org/10.1046/j.1529-8817.2001.037004500.x
Aureococcus anophagefferens CCMP1850,27.73,18,"DeYoe and Suttle, 1994; [25]",MMETSP0914,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.0022-3646.1994.00800.x,https://doi.org/10.1111/j.0022-3646.1994.00800.x
Perkinsus chesapeaki ATCC PRA-65 (combined sample which includes MMETSP0924 and MMETSP0925),56,22,McLaughlin et al. 2000; [85],MMETSP0924C,https://www.sciencedirect.com/science/article/pii/S0305049100002315?casa_token=sOTcKjPlT3gAAAAA:VMUEzmyxOCKkJrRy1PPUc8oRXDgV-c82FM2ZZOxF15hgJU2IKuwi5De0cj-xh8NgA62fvC2X,https://doi.org/10.1016/S0305-0491(00)00231-5
Ostreococcus lucimarinus clade-A-BCC118000,15.69,20,Paerl et al. 2015; [103],MMETSP0939,https://aslopubs.onlinelibrary.wiley.com/doi/full/10.1002/lno.10009,https://doi.org/10.1002/lno.10009
Prasinococcus capsulatus CCMP1194,24.83,15,Pardew et al. 2018; [104],MMETSP0941,https://onlinelibrary.wiley.com/doi/full/10.1002/ece3.3971,https://doi.org/10.1002/ece3.3971
Perkinsus marinus ATCC 50439,16.9,28,"LaPeyre and Faisal, 1996; [70]",MMETSP0922C,https://scholarworks.wm.edu/vimsarticles/1499/,https://doi.org/10.1051/parasite/1996032147
Tiarina fusus LIS,35.39,19,Jeong et al. 2002; [58],MMETSP0472,https://www.int-res.com/abstracts/ame/v28/n3/p289-297,https://doi.org/10.3354/ame028289
Bolidomonas pacifica CCMP 1866,18,20,Jacquet et al. 2001; [55],MMETSP0785,https://onlinelibrary.wiley.com/doi/full/10.1046/j.1529-8817.2001.037003357.x,https://doi.org/10.1046/j.1529-8817.2001.037003357.x
Amphidinium massartii CS-259,66.54,25,Moreira-González et al. 2019; [91],MMETSP0689,https://link.springer.com/article/10.1007/s10811-019-01855-0,https://doi.org/10.1007/s10811-019-01855-0
Stephanopyxis turris CCMP 815,34.66,17,Finkel et al. 2010; [34],MMETSP0794,https://onlinelibrary.wiley.com/doi/full/10.1111/j.1472-4669.2010.00250.x?casa_token=5M6kNvmW3gIAAAAA%3AeiJSvWLfI34ZpTtbFDnPVXy8h94rxGm2_7YO8iyqqehuJCSD_4r7f_BBQKwvQOlC3W0IfP_hX_HOqg,https://doi.org/10.1111/j.1472-4669.2010.00250.x
Tetraselmis chuii PLY429,16.1,20,Prata et al. 2018; [107],MMETSP0491,https://www.sciencedirect.com/science/article/pii/S0166445X18301498,https://doi.org/10.1016/j.aquatox.2018.02.015
Dinophysis acuminata DAEP01,23.77,15,"Kamiyama and Suzuki, 2009; [62]",MMETSP0797,https://www.sciencedirect.com/science/article/pii/S1568988308000759,https://doi.org/10.1016/j.hal.2008.07.003
Myrionecta rubra CCMP2563,34.66,15,Myung et al. 2011; [93],MMETSP0798,https://www.sciencedirect.com/science/article/pii/S1568988311000370?casa_token=A_DUnsx13AgAAAAA:ZkicuWkO23q8lCHdl5tAoM0jRzKMqGWImHalKZ0hdzEbEgfRNoaUP6sqnEqQroV1lbVQykZV,https://doi.org/10.1016/j.hal.2011.04.005
Pseudo-nitzschia fraudulenta WWA7,13.75,20,Thessen et al. 2009; [133],MMETSP0851,https://www.sciencedirect.com/science/article/pii/S156898830900050X?casa_token=bngImfuHQKUAAAAA:snDUUhIWJqZzMXTI6KYr9Rc7Ts1E0M5j5wwYYF9qtp5YZCAOHqBz-fLKc7nbfdF6FrUebfFT,https://doi.org/10.1016/j.hal.2009.01.003
Pelagomonas calceolata CCMP1756,33,20,Jacquet et al. 2001; [55],MMETSP0886,https://onlinelibrary.wiley.com/doi/full/10.1046/j.1529-8817.2001.037003357.x,https://doi.org/10.1046/j.1529-8817.2001.037003357.x
Bolidomonas pacifica RCC208,32.62,20,"Thomas and Campbell, 2013; [136]",MMETSP1319,https://academic.oup.com/plankt/article/35/2/260/1442036?login=true,https://doi.org/10.1093/plankt/fbs105
Dictyocha speculum CCMP1381,24,15,Henrilsen et al. 1993; [48],MMETSP1174,https://www.tandfonline.com/doi/abs/10.2216/i0031-8884-32-1-29.1,https://doi.org/10.2216/i0031-8884-32-1-29.1
Hemiselmis tepida CCMP443,21.33,20,Hansen et al. 2012; [44],MMETSP1355,https://www.int-res.com/articles/ame2012/66/a066p063.pdf,https://doi.org/10.3354/ame01559
Scyphosphaera apsteinii RCC1455,66.54,15,Meyer et al. 2020; [87],MMETSP1333,https://www.sciencedirect.com/science/article/pii/S0016703720304002,https://doi.org/10.1016/j.gca.2020.06.023
Pycnococcus provasolii,33,20,Jacquet et al. 2001; [55],MMETSP1316,https://onlinelibrary.wiley.com/doi/full/10.1046/j.1529-8817.2001.037003357.x,https://doi.org/10.1046/j.1529-8817.2001.037003357.x
Picochlorum oklahomensis CCMP2329,33.6,23,"Zhu and Dunford, 2013; [150]",MMETSP1161,https://aocs.onlinelibrary.wiley.com/doi/full/10.1007/s11746-013-2225-0,https://doi.org/10.1007/s11746-013-2225-0
Chrysochromulina brevifilum UTEX LB 985,26.66,20,"Jones, 1997; [60]",MMETSP1094,https://onlinelibrary.wiley.com/doi/abs/10.1046/j.1365-2427.1997.00138.x,https://doi.org/10.1046/j.1365-2427.1997.00138.x
Ochromonas sp. BG-1,6.4,20,Sanders et al. 2001; [120],MMETSP1105,https://link.springer.com/content/pdf/10.1007/s00248-001-1024-6.pdf,https://doi.org/10.1007/s00248-001-1024-6
Amphiprora paludosa CCMP125,8.89,22,"Gabriel and Sánchez-Saavedra, 2001; [41]",MMETSP1065,https://www.researchgate.net/profile/David-Siqueiros-Beltrones/publication/274382655_Isolation_and_growth_of_eight_strains_of_benthic_diatoms_cultured_under_two_light_conditions/links/554baa7e0cf21ed2135a85cb/Isolation-and-growth-of-eight-strains-of-benthic-diatoms-cultured-under-two-light-conditions.pdf,NA
Thalassiosira gravida GMp14c1,33.27,5,Lacour et al. 2018; [69],MMETSP0492,https://www.frontiersin.org/articles/10.3389/fmars.2018.00354/full,https://doi.org/10.3389/fmars.2018.00354
Blepharisma japonicum Stock R1072,15.19,23,"Santangelo and Barone, 1987; [121]",MMETSP1395,https://onlinelibrary.wiley.com/doi/abs/10.1002/jez.1402430306,https://doi.org/10.1002/jez.1402430306
Chromera velia CCMP2878,32,28,"Eliăka Trsková, 2015; [137]",MMETSP0290,https://theses.cz/id/n47qir/15012357,NA
Compsopogon coeruleus SAG 36.94,831.78,20,"Bautista and Necchi-Júnior, 2014; [6]",MMETSP0312,https://link.springer.com/article/10.1007%252Fs40415-014-0088-8,https://doi.org/10.1007/s40415-014-0088-8
Rhodella maculata CCMP 736,17.89,23.83,"Barton and Yvon-Durocher, 2019; [5]",MMETSP0314,https://aslopubs.onlinelibrary.wiley.com/doi/full/10.1002/lno.11170,https://doi.org/10.1002/lno.11170
Thalassiosira weissflogii CCMP1010,8.3,20,Dassow et al. 2006; [141],MMETSP1407,https://onlinelibrary.wiley.com/doi/full/10.1111/j.1529-8817.2006.00250.x,https://doi.org/10.1111/j.1529-8817.2006.00250.x
Climacostomum Climacostomum virens Stock W-24,36,22.7,"Repak, 1972; [114]",MMETSP1397,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1550-7408.1972.tb03496.x,https://doi.org/10.1111/j.1550-7408.1972.tb03496.x
Bathycoccus prasinos CCMP1898,34,20,Jacquet et al. 2001; [55],MMETSP1399,https://onlinelibrary.wiley.com/doi/full/10.1046/j.1529-8817.2001.037003357.x,https://doi.org/10.1046/j.1529-8817.2001.037003357.x
Pseudo-nitzschia heimii UNC1101,12.32,18,Marchetti et al. 2006; [83],MMETSP1423,https://aslopubs.onlinelibrary.wiley.com/doi/abs/10.4319/lo.2006.51.5.2092,https://doi.org/10.4319/lo.2006.51.5.2092
Chaetoceros affinis CCMP159,14.12,13,"Myklestad, 1977; [92]",MMETSP0088,https://www.sciencedirect.com/science/article/pii/0022098177900466,https://doi.org/10.1016/0022-0981(77)90046-6
Alexandrium andersonii CCMP2222,38.51,20,Lee et al. 2016; [72],MMETSP1436,https://www.sciencedirect.com/science/article/pii/S1568988316301809,https://doi.org/10.1016/j.hal.2016.09.008
Eucampia antarctica CCMP1452,51.99,20,Meyerink et al. 2017; [88],MMETSP1437,https://aslopubs.onlinelibrary.wiley.com/doi/full/10.1002/lno.10578,https://doi.org/10.1002/lno.10578
Gonyaulax spinifera CCMP409,52.64,20,Riccardi et al. 2009; [115],MMETSP1439,https://www.sciencedirect.com/science/article/pii/S1568988308000723,https://doi.org/10.1016/j.hal.2008.06.008
Polarella glacialis CCMP2088,166.36,4,Zheng et al. 2012; [149],MMETSP1440,https://www.sciencedirect.com/science/article/pii/S0022098112003334,https://doi.org/10.1016/j.jembe.2012.09.003
Attheya septentrionalis,23.77,10,Steinrücken et al. 2017; [129],MMETSP1449,https://www.sciencedirect.com/science/article/pii/S2211926417303107,https://doi.org/10.1016/j.algal.2017.07.030
Phaeocystis cordata,19.58,19,"Lombardi and Maldonado, 2011; [76]",MMETSP1465,https://link.springer.com/article/10.1007/s11120-011-9655-z,https://doi.org/10.1007/s11120-011-9655-z
Acanthamoeba polyphaga,4.620981204,20,"Rose and Caron, 2007; [119]",NA,,https://doi.org/10.4319/lo.2007.52.2.0886
Actinocyclus octonarius,21.05763587,30,"Rose and Caron, 2007; [119]",NA,,https://doi.org/10.4319/lo.2007.52.2.0886
Actinomonas mirabilis,2.888113252,20,"Rose and Caron, 2007; [119]",NA,,https://doi.org/10.4319/lo.2007.52.2.0886
Actinoptychus senarius,22.78840046,30,"Rose and Caron, 2007; [119]",NA,,https://doi.org/10.4319/lo.2007.52.2.0886
Agmenellum quadruplicatum,50.41070404,18,"Rose and Caron, 2007; [119]",NA,,https://doi.org/10.4319/lo.2007.52.2.0886
Alexandrium ostenfeldii,75.61605606,20.3,"Rose and Caron, 2007; [119]",NA,,https://doi.org/10.4319/lo.2007.52.2.0886
Amoeba algonquinensis,57.3639046,12,"Rose and Caron, 2007; [119]",NA,,https://doi.org/10.4319/lo.2007.52.2.0886
Amphidinium carteri,29.18514444,18,"Rose and Caron, 2007; [119]",NA,,https://doi.org/10.4319/lo.2007.52.2.0886
Amphidinium klebsii,27.72588722,19,"Rose and Caron, 2007; [119]","MMETSP0258,MMETSP0398,MMETSP0259",,https://doi.org/10.4319/lo.2007.52.2.0886
Amphidinium sp.,35.39474965,13,"Rose and Caron, 2007; [119]",NA,,https://doi.org/10.4319/lo.2007.52.2.0886
Amphiprora sp.,10.59588047,25,"Rose and Caron, 2007; [119]",NA,,https://doi.org/10.4319/lo.2007.52.2.0886
Ankistrodesmus braunii,14.98696607,25,"Rose and Caron, 2007; [119]",NA,,https://doi.org/10.4319/lo.2007.52.2.0886
Arcella vulgaris,63.98281667,22.5,"Rose and Caron, 2007; [119]",NA,,https://doi.org/10.4319/lo.2007.52.2.0886
Aspidisca angulata,4.49608982,20,"Rose and Caron, 2007; [119]",NA,,https://doi.org/10.4319/lo.2007.52.2.0886
Aspidisca sp.,14.46568029,22,"Rose and Caron, 2007; [119]",NA,,https://doi.org/10.4319/lo.2007.52.2.0886
Asterionella formosa,18.28080476,18.5,"Rose and Caron, 2007; [119]",NA,,https://doi.org/10.4319/lo.2007.52.2.0886
Asterionella glacialis,4.620981204,24,"Rose and Caron, 2007; [119]",NA,,https://doi.org/10.4319/lo.2007.52.2.0886
Asterionella japonica,20.28723455,25,"Rose and Caron, 2007; [119]",NA,,https://doi.org/10.4319/lo.2007.52.2.0886
Asterionella kariana,46.20981204,20,"Rose and Caron, 2007; [119]",NA,,https://doi.org/10.4319/lo.2007.52.2.0886
Asterococcus sp.,31.38779686,16,"Rose and Caron, 2007; [119]",NA,,https://doi.org/10.4319/lo.2007.52.2.0886
Bacillaria paxillifer,29.70630774,12,"Rose and Caron, 2007; [119]",NA,,https://doi.org/10.4319/lo.2007.52.2.0886
Bacteriastrum delicatulum,6.654212933,24,"Rose and Caron, 2007; [119]",NA,,https://doi.org/10.4319/lo.2007.52.2.0886
Balanion comatum,6.325297465,15,"Rose and Caron, 2007; [119]",NA,,https://doi.org/10.4319/lo.2007.52.2.0886
Balanion planctonicum,9.785607255,15,"Rose and Caron, 2007; [119]",NA,,https://doi.org/10.4319/lo.2007.52.2.0886
Bellerochea malleus,63.98281667,12,"Rose and Caron, 2007; [119]",NA,,https://doi.org/10.4319/lo.2007.52.2.0886
Biddulphia aurita,17.32867951,12,"Rose and Caron, 2007; [119]",MMETSP0015,,https://doi.org/10.4319/lo.2007.52.2.0886
Biddulphia regia,24.46401814,12,"Rose and Caron, 2007; [119]",NA,,https://doi.org/10.4319/lo.2007.52.2.0886
Biddulphia sinensis,16.80356801,30,"Rose and Caron, 2007; [119]",MMETSP0160,,https://doi.org/10.4319/lo.2007.52.2.0886
Biddulphia sp.,9.615914644,24,"Rose and Caron, 2007; [119]",NA,,https://doi.org/10.4319/lo.2007.52.2.0886
Biddulphia weissflogii,36.16420072,0,"Rose and Caron, 2007; [119]",NA,,https://doi.org/10.4319/lo.2007.52.2.0886
Bodo designis,4.332169878,20,"Rose and Caron, 2007; [119]",MMETSP1114,,https://doi.org/10.4319/lo.2007.52.2.0886
Bodo saliens,48.92803627,10,"Rose and Caron, 2007; [119]",NA,,https://doi.org/10.4319/lo.2007.52.2.0886
Bodo saltans,3.465735903,20,"Rose and Caron, 2007; [119]",NA,,https://doi.org/10.4319/lo.2007.52.2.0886
Botrydiopsis intercedens,23.10490602,25,"Rose and Caron, 2007; [119]",NA,,https://doi.org/10.4319/lo.2007.52.2.0886
Bumilleriopsis brevis,11.96800887,25,"Rose and Caron, 2007; [119]",NA,,https://doi.org/10.4319/lo.2007.52.2.0886
Bursaridium difficile,19.57121451,20,"Rose and Caron, 2007; [119]",NA,,https://doi.org/10.4319/lo.2007.52.2.0886
Caecitellus parvulus,20.53769424,10,"Rose and Caron, 2007; [119]",NA,,https://doi.org/10.4319/lo.2007.52.2.0886
Cafeteria roenbergensis,30.80654136,10,"Rose and Caron, 2007; [119]",MMETSP0942,,https://doi.org/10.4319/lo.2007.52.2.0886
Cerataulina bergonii,23.43032723,18,"Rose and Caron, 2007; [119]",NA,,https://doi.org/10.4319/lo.2007.52.2.0886
Ceratium candelabrum,151.2321121,24,"Rose and Caron, 2007; [119]",NA,,https://doi.org/10.4319/lo.2007.52.2.0886
Ceratium platycorne,34.65735903,24,"Rose and Caron, 2007; [119]",NA,,https://doi.org/10.4319/lo.2007.52.2.0886
Ceratium ranipes,47.53009238,24,"Rose and Caron, 2007; [119]",NA,,https://doi.org/10.4319/lo.2007.52.2.0886
Chaetoceros brevis,42.65521111,1.5,"Rose and Caron, 2007; [119]",MMETSP1435,,https://doi.org/10.4319/lo.2007.52.2.0886
Chaetoceros calcitrans,4.892803627,25,"Rose and Caron, 2007; [119]",NA,,https://doi.org/10.4319/lo.2007.52.2.0886
Chaetoceros criophilum,51.98603854,0,"Rose and Caron, 2007; [119]",NA,,https://doi.org/10.4319/lo.2007.52.2.0886
Chaetoceros curvisetum,11.96800887,25,"Rose and Caron, 2007; [119]","MMETSP0719,MMETSP0716,MMETSP0718,MMETSP0717",,https://doi.org/10.4319/lo.2007.52.2.0886
Chaetoceros debilis,14.59257222,12,"Rose and Caron, 2007; [119]","MMETSP0150,MMETSP0149",,https://doi.org/10.4319/lo.2007.52.2.0886
Chaetoceros decipiens,22.4804491,6,"Rose and Caron, 2007; [119]",NA,,https://doi.org/10.4319/lo.2007.52.2.0886
